code;location;registered;envelopes;valid;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Řád národa - Vlastenecká unie
547786;Adršpach;437;262;Řád národa - Vlastenecká unie;72;0;0;0;2;23;9;0;44;1;3;0;0;1;1;12;0;2;1;34;17;25;14;1
573884;Bezděkov nad Metují;446;283;Řád národa - Vlastenecká unie;71;0;0;0;0;12;31;0;27;2;4;1;0;0;1;19;1;3;3;55;4;26;19;0
573892;Bohuslavice;789;536;Řád národa - Vlastenecká unie;172;0;0;0;2;30;64;0;53;8;5;1;0;0;1;28;4;7;7;46;22;38;42;0
573906;Borová;179;123;Řád národa - Vlastenecká unie;47;0;0;0;0;8;14;0;9;0;3;0;0;0;0;4;0;1;5;7;2;15;7;0
573914;Božanov;276;160;Řád národa - Vlastenecká unie;50;0;0;0;0;19;10;0;12;1;1;0;0;0;0;17;0;1;0;14;1;24;9;0
573922;Broumov;6082;3124;Řád národa - Vlastenecká unie;1077;4;2;3;14;274;203;2;229;10;25;3;5;6;9;119;15;29;42;348;108;325;265;1
573931;Brzice;183;124;Řád národa - Vlastenecká unie;36;0;0;0;0;10;18;0;13;1;1;1;0;0;0;9;0;0;0;7;7;14;6;0
547751;Bukovice;298;208;Řád národa - Vlastenecká unie;61;0;0;1;2;7;23;0;28;2;0;0;1;0;1;13;0;4;2;23;8;17;15;0
573957;Černčice;397;264;Řád národa - Vlastenecká unie;68;0;0;1;0;13;39;0;9;4;2;3;1;0;2;7;1;6;6;27;12;36;21;0
505099;Červená Hora;162;118;Řád národa - Vlastenecká unie;40;0;0;0;0;8;15;0;5;0;1;0;0;0;0;17;0;0;2;7;5;11;5;1
